




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (5409)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (expected)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (over/under)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (FDR)
CENP-A containing nucleosome assembly (GO:0034080)	30	20	7.88	+	2.54	2.38E-03	4.91E-02
cytoplasmic translational initiation (GO:0002183)	30	20	7.88	+	2.54	2.38E-03	4.90E-02
establishment of protein localization to mitochondrial membrane (GO:0090151)	30	20	7.88	+	2.54	2.38E-03	4.90E-02
CENP-A containing chromatin organization (GO:0061641)	30	20	7.88	+	2.54	2.38E-03	4.89E-02
rRNA metabolic process (GO:0016072)	272	181	71.44	+	2.53	7.42E-21	1.28E-18
mRNA catabolic process (GO:0006402)	215	143	56.47	+	2.53	9.88E-17	1.27E-14
translational termination (GO:0006415)	97	64	25.48	+	2.51	4.30E-08	2.46E-06
ribosome biogenesis (GO:0042254)	329	217	86.41	+	2.51	2.26E-24	5.10E-22
ncRNA export from nucleus (GO:0097064)	38	25	9.98	+	2.50	8.44E-04	2.04E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	32	12.87	+	2.49	1.53E-04	4.55E-03
DNA replication-independent nucleosome organization (GO:0034724)	40	26	10.51	+	2.47	6.35E-04	1.58E-02
translation (GO:0006412)	387	250	101.64	+	2.46	5.84E-27	1.65E-24
RNA catabolic process (GO:0006401)	248	160	65.13	+	2.46	1.35E-17	1.92E-15
DNA replication-independent nucleosome assembly (GO:0006336)	39	25	10.24	+	2.44	9.37E-04	2.24E-02
ribonucleoprotein complex biogenesis (GO:0022613)	462	295	121.34	+	2.43	4.52E-31	1.59E-28
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	33	21	8.67	+	2.42	2.18E-03	4.60E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	38	15.76	+	2.41	4.74E-05	1.62E-03
intracellular transport of virus (GO:0075733)	54	34	14.18	+	2.40	1.71E-04	5.03E-03
ncRNA processing (GO:0034470)	436	274	114.51	+	2.39	4.13E-28	1.28E-25
ribonucleoprotein complex subunit organization (GO:0071826)	196	123	51.48	+	2.39	3.15E-13	3.11E-11
protein insertion into ER membrane (GO:0045048)	37	23	9.72	+	2.37	2.03E-03	4.34E-02
peptide biosynthetic process (GO:0043043)	414	257	108.73	+	2.36	7.88E-26	2.01E-23
amino acid activation (GO:0043038)	50	31	13.13	+	2.36	2.95E-04	8.00E-03
ribonucleoprotein complex assembly (GO:0022618)	189	117	49.64	+	2.36	2.50E-12	2.23E-10
spliceosomal snRNP assembly (GO:0000387)	39	24	10.24	+	2.34	1.59E-03	3.54E-02
protein targeting to membrane (GO:0006612)	182	112	47.80	+	2.34	8.22E-12	6.98E-10
ribonucleoprotein complex localization (GO:0071166)	127	78	33.35	+	2.34	1.77E-08	1.07E-06
tRNA aminoacylation (GO:0043039)	49	30	12.87	+	2.33	4.31E-04	1.12E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	126	77	33.09	+	2.33	2.53E-08	1.50E-06
tRNA aminoacylation for protein translation (GO:0006418)	46	28	12.08	+	2.32	7.89E-04	1.94E-02
DNA-templated transcription, termination (GO:0006353)	79	48	20.75	+	2.31	1.34E-05	5.12E-04
ncRNA metabolic process (GO:0034660)	521	316	136.83	+	2.31	3.48E-30	1.17E-27
tRNA metabolic process (GO:0006399)	190	115	49.90	+	2.30	1.12E-11	9.37E-10
tRNA processing (GO:0008033)	134	81	35.19	+	2.30	1.43E-08	8.82E-07
mitochondrial respiratory chain complex assembly (GO:0033108)	101	61	26.53	+	2.30	8.01E-07	3.82E-05
RNA methylation (GO:0001510)	88	53	23.11	+	2.29	5.25E-06	2.17E-04
tRNA modification (GO:0006400)	93	56	24.43	+	2.29	2.30E-06	1.02E-04
positive regulation of DNA replication (GO:0045740)	40	24	10.51	+	2.28	1.89E-03	4.08E-02
mRNA destabilization (GO:0061157)	90	54	23.64	+	2.28	4.11E-06	1.73E-04
mRNA export from nucleus (GO:0006406)	110	66	28.89	+	2.28	3.24E-07	1.69E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	66	28.89	+	2.28	3.24E-07	1.68E-05
protein K48-linked ubiquitination (GO:0070936)	60	36	15.76	+	2.28	1.99E-04	5.68E-03
RNA export from nucleus (GO:0006405)	124	74	32.57	+	2.27	8.21E-08	4.54E-06
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	34	14.97	+	2.27	2.51E-04	6.93E-03
nuclear membrane reassembly (GO:0031468)	54	32	14.18	+	2.26	4.49E-04	1.16E-02
mRNA 3'-end processing (GO:0031124)	88	52	23.11	+	2.25	8.46E-06	3.33E-04
mRNA splicing, via spliceosome (GO:0000398)	303	179	79.58	+	2.25	1.09E-16	1.39E-14
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	179	79.58	+	2.25	1.09E-16	1.38E-14
transport of virus (GO:0046794)	61	36	16.02	+	2.25	2.22E-04	6.24E-03
spliceosomal complex assembly (GO:0000245)	56	33	14.71	+	2.24	3.63E-04	9.62E-03
mitotic nuclear membrane reassembly (GO:0007084)	51	30	13.39	+	2.24	8.22E-04	2.00E-02
mitotic nuclear membrane organization (GO:0101024)	51	30	13.39	+	2.24	8.22E-04	2.00E-02
RNA splicing, via transesterification reactions (GO:0000375)	306	180	80.37	+	2.24	9.83E-17	1.27E-14
multi-organism localization (GO:1902579)	63	37	16.55	+	2.24	1.77E-04	5.18E-03
multi-organism transport (GO:0044766)	63	37	16.55	+	2.24	1.77E-04	5.17E-03
cellular protein complex disassembly (GO:0043624)	138	81	36.24	+	2.23	3.38E-08	1.96E-06
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	34	15.23	+	2.23	4.10E-04	1.08E-02
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	41	18.38	+	2.23	8.76E-05	2.78E-03
RNA destabilization (GO:0050779)	94	55	24.69	+	2.23	6.06E-06	2.48E-04
RNA 3'-end processing (GO:0031123)	142	83	37.29	+	2.23	3.13E-08	1.83E-06
ATP-dependent chromatin remodeling (GO:0043044)	77	45	20.22	+	2.23	4.36E-05	1.50E-03
nuclear export (GO:0051168)	166	97	43.60	+	2.22	1.56E-09	1.11E-07
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	46	20.75	+	2.22	3.49E-05	1.21E-03
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	43	19.44	+	2.21	7.98E-05	2.59E-03
maturation of SSU-rRNA (GO:0030490)	50	29	13.13	+	2.21	1.18E-03	2.73E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	41	18.65	+	2.20	1.02E-04	3.15E-03
regulation of gene silencing by RNA (GO:0060966)	97	56	25.48	+	2.20	7.98E-06	3.16E-04
regulation of DNA-templated transcription, elongation (GO:0032784)	52	30	13.66	+	2.20	9.32E-04	2.23E-02
mRNA metabolic process (GO:0016071)	697	402	183.06	+	2.20	8.49E-35	3.63E-32
histone H3 acetylation (GO:0043966)	47	27	12.34	+	2.19	2.21E-03	4.62E-02
regulation of posttranscriptional gene silencing (GO:0060147)	96	55	25.21	+	2.18	1.13E-05	4.36E-04
regulation of vacuole organization (GO:0044088)	49	28	12.87	+	2.18	1.69E-03	3.72E-02
interstrand cross-link repair (GO:0036297)	56	32	14.71	+	2.18	8.37E-04	2.03E-02
RNA processing (GO:0006396)	930	531	244.25	+	2.17	3.09E-45	2.22E-42
protein targeting (GO:0006605)	322	183	84.57	+	2.16	9.30E-16	1.11E-13
aerobic electron transport chain (GO:0019646)	88	50	23.11	+	2.16	3.14E-05	1.10E-03
regulation of translational initiation (GO:0006446)	81	46	21.27	+	2.16	6.26E-05	2.07E-03
regulation of gene silencing by miRNA (GO:0060964)	94	53	24.69	+	2.15	2.23E-05	8.23E-04
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	22.85	+	2.14	4.42E-05	1.52E-03
mitotic metaphase plate congression (GO:0007080)	48	27	12.61	+	2.14	2.42E-03	4.95E-02
nuclear membrane organization (GO:0071763)	73	41	19.17	+	2.14	1.79E-04	5.18E-03
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	51	23.90	+	2.13	2.81E-05	1.00E-03
regulation of gene silencing (GO:0060968)	116	65	30.47	+	2.13	3.14E-06	1.36E-04
ncRNA 3'-end processing (GO:0043628)	50	28	13.13	+	2.13	1.91E-03	4.14E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	52	24.43	+	2.13	3.13E-05	1.11E-03
ATP synthesis coupled electron transport (GO:0042773)	93	52	24.43	+	2.13	3.13E-05	1.10E-03
establishment of protein localization to mitochondrion (GO:0072655)	77	43	20.22	+	2.13	1.60E-04	4.76E-03
oxidative phosphorylation (GO:0006119)	120	67	31.52	+	2.13	1.92E-06	8.51E-05
RNA modification (GO:0009451)	172	96	45.17	+	2.13	1.36E-08	8.42E-07
postreplication repair (GO:0006301)	52	29	13.66	+	2.12	2.21E-03	4.61E-02
protein-containing complex disassembly (GO:0032984)	228	127	59.88	+	2.12	6.07E-11	4.87E-09
inner mitochondrial membrane organization (GO:0007007)	54	30	14.18	+	2.12	1.69E-03	3.71E-02
protein insertion into membrane (GO:0051205)	72	40	18.91	+	2.12	2.53E-04	6.97E-03
RNA splicing (GO:0008380)	409	227	107.42	+	2.11	1.73E-18	2.60E-16
amide biosynthetic process (GO:0043604)	537	297	141.04	+	2.11	1.20E-23	2.52E-21
protein localization to mitochondrion (GO:0070585)	85	47	22.32	+	2.11	8.75E-05	2.79E-03
establishment of protein localization to membrane (GO:0090150)	313	173	82.21	+	2.10	2.92E-14	3.07E-12
cell aging (GO:0007569)	76	42	19.96	+	2.10	2.25E-04	6.30E-03
protein transmembrane transport (GO:0071806)	58	32	15.23	+	2.10	1.06E-03	2.49E-02
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	43	20.49	+	2.10	1.76E-04	5.14E-03
establishment of protein localization to organelle (GO:0072594)	394	217	103.48	+	2.10	2.13E-17	2.95E-15
protein sumoylation (GO:0016925)	62	34	16.28	+	2.09	9.16E-04	2.20E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	40	19.17	+	2.09	4.12E-04	1.08E-02
mRNA processing (GO:0006397)	486	266	127.64	+	2.08	6.97E-21	1.21E-18
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	41	19.70	+	2.08	3.15E-04	8.51E-03
signal transduction by p53 class mediator (GO:0072331)	119	65	31.25	+	2.08	6.00E-06	2.46E-04
NADH dehydrogenase complex assembly (GO:0010257)	66	36	17.33	+	2.08	8.21E-04	2.01E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	36	17.33	+	2.08	8.21E-04	2.00E-02
response to gamma radiation (GO:0010332)	55	30	14.45	+	2.08	1.87E-03	4.08E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	61	29.42	+	2.07	1.18E-05	4.57E-04
respiratory electron transport chain (GO:0022904)	112	61	29.42	+	2.07	1.18E-05	4.55E-04
regulation of translation (GO:0006417)	415	226	108.99	+	2.07	9.75E-18	1.43E-15
post-transcriptional gene silencing by RNA (GO:0035194)	57	31	14.97	+	2.07	2.17E-03	4.57E-02
positive regulation of mRNA catabolic process (GO:0061014)	105	57	27.58	+	2.07	2.34E-05	8.53E-04
base-excision repair (GO:0006284)	59	32	15.50	+	2.07	1.65E-03	3.66E-02
positive regulation of translation (GO:0045727)	137	74	35.98	+	2.06	1.42E-06	6.49E-05
nucleotide-excision repair (GO:0006289)	104	56	27.31	+	2.05	3.26E-05	1.14E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	49	23.90	+	2.05	9.42E-05	2.96E-03
negative regulation of translation (GO:0017148)	184	99	48.33	+	2.05	3.41E-08	1.98E-06
peptidyl-lysine acetylation (GO:0018394)	119	64	31.25	+	2.05	8.95E-06	3.51E-04
mitotic nuclear division (GO:0140014)	201	108	52.79	+	2.05	7.42E-09	4.84E-07
mitotic sister chromatid segregation (GO:0000070)	121	65	31.78	+	2.05	7.12E-06	2.84E-04
histone acetylation (GO:0016573)	110	59	28.89	+	2.04	2.27E-05	8.35E-04
nuclear envelope organization (GO:0006998)	84	45	22.06	+	2.04	1.91E-04	5.47E-03
peptide metabolic process (GO:0006518)	544	291	142.87	+	2.04	1.18E-21	2.06E-19
regulation of megakaryocyte differentiation (GO:0045652)	58	31	15.23	+	2.04	2.31E-03	4.80E-02
regulation of stem cell differentiation (GO:2000736)	116	62	30.47	+	2.04	1.59E-05	6.02E-04
centrosome cycle (GO:0007098)	88	47	23.11	+	2.03	1.66E-04	4.88E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	63	30.99	+	2.03	1.24E-05	4.76E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	72	35.46	+	2.03	2.74E-06	1.20E-04
RNA localization (GO:0006403)	212	113	55.68	+	2.03	4.98E-09	3.30E-07
posttranscriptional gene silencing (GO:0016441)	62	33	16.28	+	2.03	1.45E-03	3.25E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	33	16.28	+	2.03	1.45E-03	3.25E-02
DNA-templated transcription, elongation (GO:0006354)	79	42	20.75	+	2.02	4.26E-04	1.11E-02
regulation of cellular response to heat (GO:1900034)	79	42	20.75	+	2.02	4.26E-04	1.11E-02
mRNA transport (GO:0051028)	160	85	42.02	+	2.02	4.59E-07	2.30E-05
peptidyl-lysine modification (GO:0018205)	305	162	80.10	+	2.02	2.79E-12	2.44E-10
regulation of telomere maintenance (GO:0032204)	81	43	21.27	+	2.02	3.33E-04	8.91E-03
pre-replicative complex assembly (GO:0036388)	66	35	17.33	+	2.02	1.24E-03	2.86E-02
nucleobase-containing compound catabolic process (GO:0034655)	373	197	97.96	+	2.01	1.33E-14	1.45E-12
positive regulation of viral process (GO:0048524)	89	47	23.37	+	2.01	1.83E-04	5.26E-03
protein methylation (GO:0006479)	131	69	34.41	+	2.01	6.53E-06	2.66E-04
protein alkylation (GO:0008213)	131	69	34.41	+	2.01	6.53E-06	2.65E-04
posttranscriptional regulation of gene expression (GO:0010608)	581	306	152.59	+	2.01	6.38E-22	1.16E-19
ubiquitin-dependent ERAD pathway (GO:0030433)	76	40	19.96	+	2.00	7.66E-04	1.89E-02
internal peptidyl-lysine acetylation (GO:0018393)	116	61	30.47	+	2.00	2.37E-05	8.61E-04
aerobic respiration (GO:0009060)	160	84	42.02	+	2.00	6.91E-07	3.35E-05
negative regulation of protein ubiquitination (GO:0031397)	82	43	21.54	+	2.00	3.70E-04	9.79E-03
negative regulation of cellular amide metabolic process (GO:0034249)	206	108	54.10	+	2.00	2.26E-08	1.35E-06
peptidyl-lysine methylation (GO:0018022)	86	45	22.59	+	1.99	3.18E-04	8.57E-03
RNA metabolic process (GO:0016070)	1582	827	415.49	+	1.99	2.64E-59	2.78E-56
positive regulation of mRNA metabolic process (GO:1903313)	136	71	35.72	+	1.99	6.21E-06	2.54E-04
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	60	30.20	+	1.99	3.27E-05	1.14E-03
regulation of mRNA processing (GO:0050684)	140	73	36.77	+	1.99	5.50E-06	2.26E-04
regulation of cellular amide metabolic process (GO:0034248)	479	249	125.80	+	1.98	1.62E-17	2.28E-15
endoplasmic reticulum organization (GO:0007029)	102	53	26.79	+	1.98	9.55E-05	2.98E-03
nuclear transport (GO:0051169)	264	137	69.34	+	1.98	3.76E-10	2.83E-08
regulation of mRNA stability (GO:0043488)	241	125	63.30	+	1.97	2.44E-09	1.68E-07
establishment of RNA localization (GO:0051236)	191	99	50.16	+	1.97	1.19E-07	6.46E-06
viral process (GO:0016032)	444	230	116.61	+	1.97	4.68E-16	5.64E-14
regulation of RNA stability (GO:0043487)	253	131	66.45	+	1.97	1.17E-09	8.45E-08
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	175	88.77	+	1.97	1.73E-12	1.60E-10
internal protein amino acid acetylation (GO:0006475)	118	61	30.99	+	1.97	3.93E-05	1.36E-03
sister chromatid segregation (GO:0000819)	149	77	39.13	+	1.97	3.24E-06	1.39E-04
cellular macromolecule catabolic process (GO:0044265)	925	478	242.94	+	1.97	1.77E-32	6.66E-30
regulation of mRNA catabolic process (GO:0061013)	252	130	66.18	+	1.96	1.59E-09	1.13E-07
chaperone-mediated protein folding (GO:0061077)	64	33	16.81	+	1.96	2.40E-03	4.92E-02
mitotic spindle organization (GO:0007052)	163	84	42.81	+	1.96	1.23E-06	5.69E-05
regulation of cellular amino acid metabolic process (GO:0006521)	66	34	17.33	+	1.96	1.92E-03	4.14E-02
protein acetylation (GO:0006473)	138	71	36.24	+	1.96	1.02E-05	3.99E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	57	29.15	+	1.96	7.77E-05	2.53E-03
nucleocytoplasmic transport (GO:0006913)	261	134	68.55	+	1.95	9.63E-10	7.02E-08
RNA transport (GO:0050658)	189	97	49.64	+	1.95	2.22E-07	1.18E-05
nucleic acid transport (GO:0050657)	189	97	49.64	+	1.95	2.22E-07	1.18E-05
cellular response to amino acid starvation (GO:0034198)	80	41	21.01	+	1.95	9.97E-04	2.36E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	103	52.79	+	1.95	1.06E-07	5.79E-06
RNA phosphodiester bond hydrolysis (GO:0090501)	164	84	43.07	+	1.95	1.86E-06	8.31E-05
positive regulation of cellular amide metabolic process (GO:0034250)	168	86	44.12	+	1.95	1.16E-06	5.40E-05
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	48	24.69	+	1.94	3.66E-04	9.69E-03
regulation of mRNA metabolic process (GO:1903311)	376	192	98.75	+	1.94	3.23E-13	3.17E-11
microtubule organizing center organization (GO:0031023)	100	51	26.26	+	1.94	1.81E-04	5.24E-03
macromolecule methylation (GO:0043414)	257	131	67.50	+	1.94	2.21E-09	1.56E-07
proteasomal protein catabolic process (GO:0010498)	361	184	94.81	+	1.94	1.16E-12	1.09E-10
cellular respiration (GO:0045333)	187	95	49.11	+	1.93	4.13E-07	2.08E-05
regulation of proteasomal protein catabolic process (GO:0061136)	187	95	49.11	+	1.93	4.13E-07	2.07E-05
protein autoubiquitination (GO:0051865)	69	35	18.12	+	1.93	2.26E-03	4.71E-02
cellular response to ionizing radiation (GO:0071479)	71	36	18.65	+	1.93	1.80E-03	3.92E-02
protein-DNA complex subunit organization (GO:0071824)	296	150	77.74	+	1.93	2.06E-10	1.56E-08
regulation of RNA splicing (GO:0043484)	150	76	39.40	+	1.93	7.12E-06	2.85E-04
nucleosome organization (GO:0034728)	156	79	40.97	+	1.93	4.92E-06	2.04E-04
negative regulation of chromosome organization (GO:2001251)	79	40	20.75	+	1.93	1.36E-03	3.08E-02
nucleic acid metabolic process (GO:0090304)	2217	1122	582.27	+	1.93	6.41E-77	1.13E-73
response to amino acid starvation (GO:1990928)	83	42	21.80	+	1.93	8.30E-04	2.01E-02
cellular response to UV (GO:0034644)	91	46	23.90	+	1.92	4.52E-04	1.16E-02
cell cycle checkpoint signaling (GO:0000075)	188	95	49.38	+	1.92	6.20E-07	3.04E-05
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	152	79.05	+	1.92	1.92E-10	1.46E-08
telomere organization (GO:0032200)	103	52	27.05	+	1.92	2.11E-04	5.95E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	121	63.03	+	1.92	1.46E-08	8.94E-07
mitotic cell cycle checkpoint signaling (GO:0007093)	159	80	41.76	+	1.92	4.27E-06	1.79E-04
protein localization to organelle (GO:0033365)	742	372	194.88	+	1.91	1.78E-23	3.65E-21
DNA repair (GO:0006281)	531	266	139.46	+	1.91	5.68E-17	7.61E-15
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	83	43.60	+	1.90	4.31E-06	1.80E-04
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	51	26.79	+	1.90	2.87E-04	7.83E-03
ATP metabolic process (GO:0046034)	206	103	54.10	+	1.90	2.94E-07	1.54E-05
regulation of TOR signaling (GO:0032006)	100	50	26.26	+	1.90	3.63E-04	9.63E-03
DNA integrity checkpoint signaling (GO:0031570)	150	75	39.40	+	1.90	1.05E-05	4.07E-04
mitochondrion organization (GO:0007005)	468	233	122.91	+	1.90	8.25E-15	9.12E-13
regulation of macroautophagy (GO:0016241)	161	80	42.28	+	1.89	6.67E-06	2.70E-04
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	61	32.30	+	1.89	8.07E-05	2.61E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	59	31.25	+	1.89	1.25E-04	3.82E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	57	30.20	+	1.89	1.46E-04	4.38E-03
double-strand break repair via homologous recombination (GO:0000724)	101	50	26.53	+	1.88	3.91E-04	1.03E-02
telomere maintenance (GO:0000723)	99	49	26.00	+	1.88	4.91E-04	1.26E-02
positive regulation of chromosome organization (GO:2001252)	182	90	47.80	+	1.88	1.89E-06	8.43E-05
macromolecule catabolic process (GO:0009057)	1058	523	277.87	+	1.88	7.04E-32	2.59E-29
negative regulation of gene expression, epigenetic (GO:0045814)	79	39	20.75	+	1.88	1.95E-03	4.19E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	77	40.97	+	1.88	1.44E-05	5.47E-04
establishment of chromosome localization (GO:0051303)	75	37	19.70	+	1.88	2.29E-03	4.77E-02
post-Golgi vesicle-mediated transport (GO:0006892)	136	67	35.72	+	1.88	5.54E-05	1.86E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	66	35.19	+	1.88	5.08E-05	1.72E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	277	147.86	+	1.87	5.79E-17	7.69E-15
